Iteration,Matrix multiplication,Add bias,transpose,Sigmoid,Softmax,Compute delta2,Compute derivative b,Compute derivative W,Compute delta1
62,453443319.88373727,93843.84283127653,1.1071999557316304e-05,194099.37457496658,15609814.816377746,27103.207883124272,10457198.554789076,438356147.05806136,425749.31816148805
63,462454813.104726,89541.54496637589,1.1648000217974186e-05,195312.50493400887,15686035.19585343,27126.73515161529,9978341.800290952,442523782.7458602,437675.055662093
64,457904734.5935829,97656.25246700444,1.0623999871313573e-05,195312.50493400887,15429874.965248741,26732.24855636045,10498046.503675116,438731776.42433196,451589.6134313005
65,445163033.60019433,95858.89320635375,1.2032000347971917e-05,188821.75890368415,15196310.08415495,28001.79212834226,10283801.356550371,431339526.63233507,414456.2450916234
66,451046244.4922733,97352.02506447269,1.539199985563755e-05,195312.50493400887,15110536.998171085,27126.73515161529,9916973.918815995,443290063.5641797,406901.02727422933
67,467096274.644997,97656.25246700444,1.1615999974310399e-05,195312.50493400887,15579533.666214142,27126.73515161529,10457198.554789076,438356147.05806136,458211.13522774517
68,447106991.80181944,97962.37832843115,1.228800043463707e-05,187125.7422238968,15686035.19585343,27126.73515161529,10389819.966998655,437606858.1865298,473484.83434717555
69,444390175.25376165,98270.43846201085,1.228800043463707e-05,192901.23857461291,15039794.243981663,26282.591003690042,10310102.073011462,424896273.08697015,416666.6630448567
70,447106991.80181944,93562.8711119484,1.2575999833643437e-05,189393.9337388702,15534333.332432633,26326.875404805607,10231598.922035491,427735994.4789768,456871.32643935666
71,459136774.6599237,88526.9095822339,1.2768000364303589e-05,189969.6035704473,15341450.944453994,27126.73515161529,10141509.434912706,431703222.1037565,445156.7013270352
72,457904734.5935829,83111.69972402448,1.2128000147640705e-05,187687.68566255306,14804147.516775342,27126.73515161529,9990706.630638985,428451876.06006134,422297.303813239
73,347783620.0001519,87047.35428344342,1.2256000190973282e-05,187125.7422238968,15444711.496415973,26172.529065317576,10257633.723475246,444444428.7240649,428082.17486138805
74,444390175.25376165,97656.25246700444,1.1744000017642974e-05,194704.05012894538,15686035.19585343,26847.0786755537,10498046.503675116,440999141.3847547,466417.924763034
75,444390175.25376165,99206.34541089894,1.2256000190973282e-05,197784.81603385328,14955772.409569468,25406.50297852847,10167087.207556045,429530202.7544725,459558.8253043426
76,444390175.25376165,96450.61928730646,1.206399966031313e-05,194099.37457496658,15254036.298806405,27056.27829371214,10470779.435822614,440999141.3847547,414456.2450916234
77,457904734.5935829,96153.84589208389,1.1168000288307668e-05,195312.50493400887,15624999.576352425,27126.73515161529,9953703.731628478,442906591.7161432,411184.1972945539
78,446327374.7220419,97049.68728748329,1.113600004464388e-05,192901.23857461291,15655457.896742785,26847.0786755537,10257633.723475246,427378950.0411146,452898.540674922
79,468807213.1646533,97656.25246700444,1.1807999573647976e-05,195312.50493400887,15153301.333471566,27126.73515161529,10040473.192472728,437981160.3474096,418900.8177318331
80,452241605.8271833,97656.25246700444,1.228800043463707e-05,194704.05012894538,15564438.860519547,27244.98685887205,9725572.67461455,444444428.7240649,413359.79164121044
81,470530782.18918365,97656.25246700444,1.2160000391304494e-05,186011.9062385447,14983675.18214328,27268.761025044023,9690504.916903317,444444428.7240649,415558.4986201224
82,463291841.7400645,92182.89328311906,1.0623999871313573e-05,178062.68053081408,15011682.26494169,27126.73515161529,10231598.922035491,444444428.7240649,431629.84429048357
83,462037431.95713896,94126.5071642323,1.2095999903976917e-05,196540.8769240217,15624999.576352425,27056.27829371214,9880514.885004558,444444428.7240649,406901.02727422933
84,460789844.9991235,93005.95311927235,1.065600011497736e-05,197160.88441491706,15429874.965248741,26939.65551501537,9385913.617393939,444444428.7240649,421159.02748648886
85,441325436.6469818,95565.75303182713,1.2160000391304494e-05,191131.50606365426,15039794.243981663,27126.73515161529,9978341.800290952,444444428.7240649,440140.8494235843
86,470530782.18918365,97656.25246700444,1.1615999974310399e-05,175561.79572920912,14804147.516775342,27292.57671846047,10065543.2294352,439862537.02027184,421159.02748648886
87,462037431.95713896,97656.25246700444,1.1680000461637974e-05,177053.8191644678,15239563.668302039,27126.73515161529,10498046.503675116,440240753.60091704,406901.02727422933
88,450252841.3929866,88526.9095822339,1.228800043463707e-05,186567.16990521358,15268536.444027523,27126.73515161529,10310102.073011462,425249179.6639445,460914.46641559526
89,447106991.80181944,97656.25246700444,1.119999960064888e-05,195312.50493400887,15686035.19585343,27126.73515161529,9008379.841210803,434266322.4206725,435236.7714172171
90,461204974.1638732,97656.25246700444,1.2160000391304494e-05,197160.88441491706,14997665.648240944,27103.207883124272,10090738.774426365,430976443.44753206,443892.0419875667
91,444776268.69100535,97049.68728748329,1.3344000093638897e-05,198412.69082179788,15655457.896742785,27103.207883124272,9904790.811828082,444444428.7240649,428082.17486138805
92,462037431.95713896,97656.25246700444,1.190400030463934e-05,179597.70042942365,15686035.19585343,27126.73515161529,9760895.846622674,443674155.2554605,406901.02727422933
93,454248016.9307342,86088.15446036246,1.0944000445306302e-05,195312.50493400887,15686035.19585343,26326.875404805607,10257633.723475246,426311425.5491997,406901.02727422933
94,444390175.25376165,96153.84589208389,1.1839999817311765e-05,195312.50493400887,14927973.365560323,26595.745064510436,10498046.503675116,434634972.3586742,418900.8177318331
95,462037431.95713896,97656.25246700444,1.2191999703645706e-05,189393.9337388702,14845194.450066166,27079.72139010379,10498046.503675116,440999141.3847547,459558.8253043426
96,460789844.9991235,97656.25246700444,1.0688000358641148e-05,195312.50493400887,15655457.896742785,27126.73515161529,10403225.507662795,439862537.02027184,421159.02748648886
97,459961824.5797831,97656.25246700444,1.2032000347971917e-05,181159.41626996882,15504344.042794093,27173.912440495318,9820340.769048668,444444428.7240649,406901.02727422933
98,454248016.9307342,98892.40801692664,1.1776000261306763e-05,174094.70856688684,15370812.795480456,27316.434048022336,10154282.214201847,424896273.08697015,469219.21415638266
99,445938584.8533324,96153.84589208389,1.0944000445306302e-05,194704.05012894538,15686035.19585343,27126.73515161529,9929187.0336846,442523782.7458602,431629.84429048357
100,460789844.9991235,87535.0111324186,1.228800043463707e-05,195312.50493400887,15549371.524472801,27173.912440495318,10003101.420779629,437981160.3474096,421159.02748648886
